source,pmid,subgroup_type,subgroup,sample_n,stage0_percent,stage0_ci_low,stage0_ci_high,stage1_percent,stage1_ci_low,stage1_ci_high,stage2_percent,stage2_ci_low,stage2_ci_high,stage3_percent,stage3_ci_low,stage3_ci_high,stage4_percent,stage4_ci_low,stage4_ci_high,advanced_stage3_or4_percent,advanced_ci_low,advanced_ci_high
Aggarwal et al JAMA 2024,38717747,age,20-44 years,4373,18.2,16.5,19.9,36.6,34.8,38.4,43.2,41.0,45.3,0.1,0.1,0.2,1.9,1.4,2.4,2.1,1.6,2.6
Aggarwal et al JAMA 2024,38717747,age,45-64 years,3838,5.4,4.1,6.7,21.2,19.1,23.3,62.7,60.2,65.3,1.4,1.0,1.8,9.2,8.1,10.4,10.7,9.5,11.9
Aggarwal et al JAMA 2024,38717747,age,65 years or older,2551,1.3,0.9,1.7,7.2,5.8,8.7,36.2,34.2,38.2,27.4,25.4,29.3,27.9,25.8,30.0,55.3,53.2,57.4
Aggarwal et al JAMA 2024,38717747,sex,Men,5200,7.9,6.7,9.1,24.9,23.0,26.8,50.3,48.1,52.5,6.5,6.0,7.0,10.4,9.4,11.4,16.9,15.9,17.9
Aggarwal et al JAMA 2024,38717747,sex,Women,5562,13.1,11.8,14.5,26.8,25.3,28.2,47.7,45.9,49.4,4.4,3.9,4.9,8.0,7.1,8.9,12.4,11.5,13.4
Aggarwal et al JAMA 2024,38717747,race_ethnicity,Asian non-Hispanic,1365,12.2,10.4,13.9,26.2,23.7,28.7,50.2,47.4,53.1,6.5,5.2,7.7,4.9,3.4,6.4,11.4,10.0,12.7
Aggarwal et al JAMA 2024,38717747,race_ethnicity,Black non-Hispanic,2382,6.7,5.4,8.0,23.9,21.7,26.1,50.5,48.2,52.7,7.5,6.5,8.6,11.4,10.1,12.7,18.9,17.5,20.3
Aggarwal et al JAMA 2024,38717747,race_ethnicity,Hispanic,2599,6.5,5.1,7.8,26.9,24.9,28.8,52.0,50.0,54.1,7.2,6.4,8.1,7.5,6.4,8.5,14.7,13.6,15.7
Aggarwal et al JAMA 2024,38717747,race_ethnicity,White non-Hispanic,4017,12.2,10.8,13.5,26.1,24.4,27.9,47.9,45.8,50.1,4.6,4.1,5.0,9.2,8.2,10.2,13.8,12.7,14.8
Aggarwal et al JAMA 2024,38717747,race_ethnicity,Other race or ethnicity,399,10.1,6.9,13.4,22.4,17.5,27.2,47.4,42.6,52.3,4.6,2.9,6.2,15.5,11.6,19.4,20.1,16.3,23.8
